key;en;ua;cn;ja;ko
tooltip_kerning;Enables character specific spacing between pairs of characters.;;;;
label_extra_padding;Extra Padding;;;;
tooltip_extra_padding;Adds some padding between the characters and the edge of the text mesh. Can reduce graphical errors when displaying small text.;;;;
label_overflow;Overflow;;;;
tooltip_overflow;How to display text which goes past the edge of the container.;;;;
label_horizontal_mapping;Horizontal Mapping;;;;
tooltip_horizontal_mapping;Horizontal UV mapping when using a shader with a texture face option.;;;;
label_vertical_mapping;Vertical Mapping;;;;
tooltip_vertical_mapping;Vertical UV mapping when using a shader with a texture face option.;;;;
label_geometry_sorting;Geometry Sorting;;;;
tooltip_geometry_sorting;The order in which text geometry is sorted. Used to adjust the way overlapping characters are displayed.;;;;
label_additional_assets_config;ADDITIONAL ASSETS CONFIG;;;;
tooltip_additional_assets_config;Once you have imported one of the third party assets that the FCU supports,\nyou need to activate them in this section.;;;;
label_frames_to_download;FRAMES TO DOWNLOAD ({0}/{1});;;;
label_asset_tools;ASSET TOOLS;;;;
tooltip_asset_tools;Auxiliary tools for using the asset.;;;;
label_destroy_fcu_meta;Destroy FCU_Meta's;;;;
tooltip_destroy_fcu_meta;If you click on this button, all 'FCU_Meta.cs' scripts that are inside the current canvas will be deleted.\n\nGameObjects, however, will NOT be deleted.;;;;
label_destroy_current_canvas_childs;Destroy current canvas childs;;;;
tooltip_destroy_current_canvas_childs;;;;;
label_view_manuals;View Manuals;;;;
tooltip_view_manuals;;;;;
label_write_to_support;Write to support;;;;
tooltip_write_to_support;;;;;
log_import_complete;Import complete!;;;;
log_asset_not_imported;{0} asset not imported or not enabled in additional assets config.;;;;
log_softmask_not_supported;{0} asset is not supported by the SoftMask asset.;;;;
log_current_canvas_metas_destroy;FCU {0}: {1} '{2}.cs' scripts destroyed.;;;;
log_current_canvas_childs_destroy;FCU {0}: {1} childs destroyed.;;;;
log_asset_compression_disabled;Asset compression disabled.;;;;
log_asset_compression_restored;Restore asset compression old value: {0}.;;;;
label_debug_tools;DEBUG TOOLS;;;;
tooltip_debug_tools;;;;;
label_next_break_point;Next break point;;;;
tooltip_next_break_point;;;;;
label_component_detection_type;Component Detection Type;;;;
tooltip_component_detection_type;;;;;
label_use_https;HTTPS;;;;
tooltip_use_https;;;;;
label_auto_disable_compress_assets_on_import;Compress Assets On Import;;;;
tooltip_auto_disable_compress_assets_on_import;;;;;
label_clear_canvas;Clear Canvas;;;;
tooltip_clear_canvas;;;;;
label_destroy_last_imported_frames;Destroy last imported frames;;;;
tooltip_destroy_last_imported_frames;;;;;
label_ui_manager;UI Manager;;;;
tooltip_redownload_sprites;;;;;
label_language;Language;Language;Language;Language;Language
tooltip_language;;;;;
log_project_not_found;Either this file doesn’t exist or you don’t have permission to view it. Ask the file owner to verify the link and/or update permissions. If you are using a team project, read the 'Teamwork' section in 'Manual for designers.pdf'.;;;;
log_json_net_not_found;"Json.NET not found. To install Json.NET, follow the instructions from ""Installing Json.NET"" slide from the manual for developers.";;;;
log_cant_auth;Can't auth: {0};;;;
log_cant_get_profile_info;Can't get profile info: {0};;;;
log_unknown_error;Unknown error: {0};;;;
log_ssl_error;{0}. Turn off HTTPS in Main Settings.;;;;
log_malformed_url;"Image link not found for {0}.
If you see this error, you either need to reauthorize or some of your layout components are inheriting from the master components that are in a project that you don't have access to.";;;;
log_sprites_removed;{0} sprites removed.;;;;
label_sprites_path;Sprites Path;;;;
tooltip_sprites_path;;;;;
label_remove_unused_sprites;REMOVE UNUSED SPRITES;;;;
tooltip_remove_unused_sprites;;;;;
label_path;Path;;;;
tooltip_path;;;;;
label_more_about_layout_updating;You can learn more about this script in the dev manual, 'Layout updating' slide.;;;;
label_dont_remove_fcu_meta;Don't remove this script until you are done with the layout.;;;;
label_create_script;Create {0};;;;
label_you_can_create;"You can create a GameObject with
{0} script, Canvas,
Canvas Scaler and Graphic Raycaster";;;;
label_ref_res;Reference Resolution;;;;
label_orientation;Orientation;;;;
label_own_value;Your own value;;;;
label_create_canvas;Create Canvas;;;;
log_tagging;Tagging…;;;;
log_instantiate_game_objects;Instantiating GameObjects...;;;;
log_start_getting_links;Starting to get links…;;;;
log_start_canvas_drawing;Starting to draw on canvas…;;;;
log_start_download_images;Starting to download images...;;;;
log_start_setting_transform;Starting to setting transforms…;;;;
log_drawn_count;Drawn {0} of {1} components…;;;;
log_mark_as_sprite;Assigning  'Sprite' type to the downloaded images:  {0} of {1};;;;
log_cant_find_font;Can't find font file at path: '{0}';;;;
log_tm_font_already_exists;TextMeshPro font already exists for '{0}' font at path: {1};;;;
log_reopen_font_asset_creator;If you often see this error, close 'Font Asset Creator' before running the convert function. 'Font Asset Creator' should open by itself.;;;;
log_converted_fonts;Converted {0} of {1} fonts.;;;;
label_convert_fonts_to_textmesh;CONVERT FONTS TO TEXTMESHPRO;;;;
tooltip_convert_fonts_to_textmesh;;;;;
label_fonts_path;Fonts Path;;;;
label_convert;Convert;;;;
tooltip_convert;;;;;
label_remove;Remove;;;;
tooltip_remove;;;;;
log_font_conversion_complete;"Fonts conversion complete!
Source fonts: {0}
Converted: {1}
Skiped: {2}
Errors: {3}";;;;
label_change;…;;;;
label_select_fonts_folder;Choose a folder with your fonts;;;;
label_select_sprites_folder;Select the folder you want to remove unused sprites from;;;;
label_inside_assets_folder;The object/folder you select must be inside the 'Assets' folder.;;;;
label_add_fonts_from_folder;Add fonts from folder;;;;
tooltip_add_fonts_from_folder;;;;;
log_added_total;"Added: {0}
Total: {1}";;;;
log_start_adding_to_fonts_list;Starting to add fonts to the list…;;;;
label_mpuikit_settings;MPUIKIT SETTINGS;;;;
label_unity_image_settings;UNITY IMAGE SETTINGS;;;;
label_shapes2d_settings;SHAPES 2D SETTINGS;;;;
